country,ip,prefixlength,version
ET,102.211.105.0,24,ipv4
ET,102.212.10.0,24,ipv4
ET,102.212.68.0,22,ipv4
ET,102.213.68.0,22,ipv4
ET,102.218.0.0,22,ipv4
ET,102.218.48.0,22,ipv4
ET,164.160.184.0,22,ipv4
ET,196.49.98.0,24,ipv4
ET,196.60.116.0,24,ipv4
ET,196.188.0.0,14,ipv4
ET,197.154.0.0,16,ipv4
ET,197.156.64.0,18,ipv4
ET,213.55.64.0,18,ipv4
